Date Team1 Team2 Venue Score Shots_1 Shots_2 Possession_percentage_1 Possession_percentage_2 Red_Cards_1 Red_Cards_2 Yellow_Cards_1 Yellow_Cards_2 Referee_id

2020-01-19,Liverpool,Manchester United,Anfield,2-0,16,9,54,46,0,0,1,3,2

2019-11-10,Liverpool,Manchester City,Anfield,3-1,12,18,45,55,0,0,0,2,1

2019-11-23,Manchester City,Chelsea,Etihad,2-1,15,11,46,54,0,0,1,1,3

2019-12-07,Manchester City,Manchester United,Etihad,1-2,23,11,72,28,0,0,3,2,3
2020-01-22,Chelsea,Arsenal,Stamford Bridge,2-2,19,2,59,41,0,1,2,1,2
2020-01-27,Napoli,Juventus,Stadio San Paolo,2-1,15,8,52,48,0,0,2,5,4
2020-01-07,Napoli,Inter Milan,Stadio San Paolo,1-3,19,14,57,43,0,0,0,5,6
2019-10-07,Inter Milan,Juventus,San Siro,1-2,10,18,52,48,0,0,2,3,5
2019-12-19,Barcelona,Real Madrid,Camp Nou,0-0,9,17,53,47,0,0,3,5,8
2020-01-02,Real Madrid,Atletico Madrid,Santiago Bernabeu,1-0,16,4,66,34,0,0,2,2,7
